parkingDuration,tripDuration,ratio,Trip,tripFrom,tripTo,begin,end,mileage,tripDurationHour,parkingDurationHour,avgSpeed,maxSpeed,consumed,avgConsumed,timestampBegin,timestampEnd,datetimeBegin,datetimeEnd,xBegin,xEnd,yBegin,yEnd,nm
1.82,8.0,0.23,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '18 Feb 2022 01:27:52', 'v': 1645165672, 'y': -13.0936216667, 'x': -75.988175}","{'t': '18 Feb 2022 09:28:06', 'v': 1645194486, 'y': -11.9712766667, 'x': -76.883285}",260.0,8:00:14,1:49:09,32.0,81.0,34.19,7.6,1645165672,1645194486,2022-02-18 01:27:52,2022-02-18 09:28:06,-75.988175,-76.883285,-13.0936216667,-11.9712766667,BBB-850
2.99,9.08,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '24 Feb 2022 23:45:37', 'v': 1645764337, 'y': -13.09383, 'x': -75.9888383333}","{'t': '25 Feb 2022 08:50:28', 'v': 1645797028, 'y': -11.9712716667, 'x': -76.88337}",256.0,9:04:51,2:59:15,28.0,84.0,34.58,7.39,1645764337,1645797028,2022-02-24 23:45:37,2022-02-25 08:50:28,-75.9888383333,-76.88337,-13.09383,-11.9712716667,BBB-850
3.32,9.22,0.23,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '25 Feb 2022 23:28:12', 'v': 1645849692, 'y': -13.093835, 'x': -75.98877}","{'t': '26 Feb 2022 08:41:30', 'v': 1645882890, 'y': -12.0450666667, 'x': -77.127975}",257.0,9:13:18,3:19:07,28.0,84.0,32.21,7.99,1645849692,1645882890,2022-02-25 23:28:12,2022-02-26 08:41:30,-75.98877,-77.127975,-13.093835,-12.0450666667,BBB-850
3.95,9.87,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '26 Feb 2022 23:24:27', 'v': 1645935867, 'y': -13.0939716667, 'x': -75.9888383333}","{'t': '27 Feb 2022 09:16:56', 'v': 1645971416, 'y': -11.97122, 'x': -76.8832016667}",256.0,9:52:29,3:57:12,26.0,82.0,33.76,7.58,1645935867,1645971416,2022-02-26 23:24:27,2022-02-27 09:16:56,-75.9888383333,-76.8832016667,-13.0939716667,-11.97122,BBB-850
2.75,9.3,0.22,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '28 Feb 2022 00:38:23', 'v': 1646026703, 'y': -13.0939616667, 'x': -75.9888766667}","{'t': '28 Feb 2022 09:56:20', 'v': 1646060180, 'y': -12.045105, 'x': -77.1282266667}",258.0,9:17:57,2:45:15,28.0,89.0,33.79,7.64,1646026703,1646060180,2022-02-28 00:38:23,2022-02-28 09:56:20,-75.9888766667,-77.1282266667,-13.0939616667,-12.045105,BBB-850
3.54,10.37,0.19,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '01 Mar 2022 23:42:47', 'v': 1646196167, 'y': -13.0937766667, 'x': -75.9886483333}","{'t': '02 Mar 2022 10:04:46', 'v': 1646233486, 'y': -12.0450383333, 'x': -77.1279366667}",256.0,10:21:59,3:32:15,25.0,81.0,30.91,8.29,1646196167,1646233486,2022-03-01 23:42:47,2022-03-02 10:04:46,-75.9886483333,-77.1279366667,-13.0937766667,-12.0450383333,BBB-850
2.79,9.74,0.2,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '02 Mar 2022 23:48:02', 'v': 1646282882, 'y': -13.0937283333, 'x': -75.98848}","{'t': '03 Mar 2022 09:32:29', 'v': 1646317949, 'y': -12.0451033333, 'x': -77.12806}",264.0,9:44:27,2:47:13,27.0,79.0,32.57,8.11,1646282882,1646317949,2022-03-02 23:48:02,2022-03-03 09:32:29,-75.98848,-77.12806,-13.0937283333,-12.0451033333,BBB-850
5.25,10.97,0.23,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '05 Mar 2022 22:01:04', 'v': 1646535664, 'y': -13.0937183333, 'x': -75.9886783333}","{'t': '06 Mar 2022 08:59:14', 'v': 1646575154, 'y': -11.9712533333, 'x': -76.8832633333}",256.0,10:58:10,5:15:17,23.0,83.0,31.89,8.03,1646535664,1646575154,2022-03-05 22:01:04,2022-03-06 08:59:14,-75.9886783333,-76.8832633333,-13.0937183333,-11.9712533333,BBB-850
4.87,11.38,0.2,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '07 Mar 2022 01:12:30', 'v': 1646633550, 'y': -13.0939433333, 'x': -75.9888916667}","{'t': '07 Mar 2022 12:35:09', 'v': 1646674509, 'y': -12.0431933333, 'x': -77.1312183333}",263.0,11:22:39,4:52:06,23.0,80.0,31.61,8.31,1646633550,1646674509,2022-03-07 01:12:30,2022-03-07 12:35:09,-75.9888916667,-77.1312183333,-13.0939433333,-12.0431933333,BBB-850
2.25,9.13,0.19,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '08 Mar 2022 00:09:51', 'v': 1646716191, 'y': -13.0939466667, 'x': -75.9888916667}","{'t': '08 Mar 2022 09:17:30', 'v': 1646749050, 'y': -12.0451416667, 'x': -77.128205}",258.0,9:07:39,2:15:09,28.0,79.0,31.76,8.11,1646716191,1646749050,2022-03-08 00:09:51,2022-03-08 09:17:30,-75.9888916667,-77.128205,-13.0939466667,-12.0451416667,BBB-850
4.09,10.42,0.22,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '08 Mar 2022 22:59:56', 'v': 1646798396, 'y': -13.0937, 'x': -75.9884716667}","{'t': '09 Mar 2022 09:25:25', 'v': 1646835925, 'y': -11.971275, 'x': -76.8833316667}",259.0,10:25:29,4:05:09,25.0,79.0,33.86,7.65,1646798396,1646835925,2022-03-08 22:59:56,2022-03-09 09:25:25,-75.9884716667,-76.8833316667,-13.0937,-11.971275,BBB-850
3.13,9.16,0.25,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '10 Mar 2022 00:12:01', 'v': 1646889121, 'y': -13.0939133333, 'x': -75.9888233333}","{'t': '10 Mar 2022 09:21:20', 'v': 1646922080, 'y': -12.04511, 'x': -77.12838}",257.0,9:09:19,3:08:05,28.0,93.0,35.43,7.27,1646889121,1646922080,2022-03-10 00:12:01,2022-03-10 09:21:20,-75.9888233333,-77.12838,-13.0939133333,-12.04511,BBB-850
3.32,9.16,0.21,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '12 Mar 2022 01:03:29', 'v': 1647065009, 'y': -13.0938316667, 'x': -75.9887616667}","{'t': '12 Mar 2022 10:13:05', 'v': 1647097985, 'y': -12.045085, 'x': -77.12851}",256.0,9:09:36,3:19:11,28.0,82.0,29.04,8.82,1647065009,1647097985,2022-03-12 01:03:29,2022-03-12 10:13:05,-75.9887616667,-77.12851,-13.0938316667,-12.045085,BBB-850
5.3,11.05,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '13 Mar 2022 00:23:31', 'v': 1647149011, 'y': -13.0938633333, 'x': -75.9888766667}","{'t': '13 Mar 2022 11:26:33', 'v': 1647188793, 'y': -11.97134, 'x': -76.8833083333}",256.0,11:03:02,5:18:05,23.0,82.0,32.53,7.86,1647149011,1647188793,2022-03-13 00:23:31,2022-03-13 11:26:33,-75.9888766667,-76.8833083333,-13.0938633333,-11.97134,BBB-850
1.54,7.33,0.23,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '15 Mar 2022 01:03:08', 'v': 1647324188, 'y': -13.09381, 'x': -75.988625}","{'t': '15 Mar 2022 08:22:48', 'v': 1647350568, 'y': -12.0450716667, 'x': -77.1278916667}",259.0,7:19:40,1:32:09,35.0,82.0,32.05,8.08,1647324188,1647350568,2022-03-15 01:03:08,2022-03-15 08:22:48,-75.988625,-77.1278916667,-13.09381,-12.0450716667,BBB-850
3.65,9.5,0.25,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '16 Mar 2022 00:32:55', 'v': 1647408775, 'y': -13.09385, 'x': -75.9888233333}","{'t': '16 Mar 2022 10:02:55', 'v': 1647442975, 'y': -11.9712883333, 'x': -76.8833383333}",257.0,9:30:00,3:39:09,27.0,81.0,34.71,7.39,1647408775,1647442975,2022-03-16 00:32:55,2022-03-16 10:02:55,-75.9888233333,-76.8833383333,-13.09385,-11.9712883333,BBB-850
2.19,8.37,0.23,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '17 Mar 2022 00:32:06', 'v': 1647495126, 'y': -13.09386, 'x': -75.9888916667}","{'t': '17 Mar 2022 08:54:06', 'v': 1647525246, 'y': -11.97109, 'x': -76.8831183333}",259.0,8:22:00,2:11:06,31.0,81.0,34.09,7.6,1647495126,1647525246,2022-03-17 00:32:06,2022-03-17 08:54:06,-75.9888916667,-76.8831183333,-13.09386,-11.97109,BBB-850
4.22,10.55,0.23,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '18 Mar 2022 23:56:10', 'v': 1647665770, 'y': -13.0938516667, 'x': -75.9889}","{'t': '19 Mar 2022 10:29:24', 'v': 1647703764, 'y': -12.0432033333, 'x': -77.1311033333}",267.0,10:33:14,4:13:13,25.0,82.0,34.21,7.8,1647665770,1647703764,2022-03-18 23:56:10,2022-03-19 10:29:24,-75.9889,-77.1311033333,-13.0938516667,-12.0432033333,BBB-850
4.49,10.33,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '19 Mar 2022 23:15:41', 'v': 1647749741, 'y': -13.0938683333, 'x': -75.9888766667}","{'t': '20 Mar 2022 09:35:39', 'v': 1647786939, 'y': -11.97087, 'x': -76.8828666667}",256.0,10:19:58,4:29:09,25.0,87.0,33.74,7.6,1647749741,1647786939,2022-03-19 23:15:41,2022-03-20 09:35:39,-75.9888766667,-76.8828666667,-13.0938683333,-11.97087,BBB-850
17.79,31.32,0.19,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '22 Mar 2022 01:43:44', 'v': 1647931424, 'y': -13.0938533333, 'x': -75.9889216667}","{'t': '23 Mar 2022 09:02:51', 'v': 1648044171, 'y': -12.0451033333, 'x': -77.1279533333}",500.0,1 days 7:19:07,17:47:36,16.0,82.0,61.0,8.14,1647931424,1648044171,2022-03-22 01:43:44,2022-03-23 09:02:51,-75.9889216667,-77.1279533333,-13.0938533333,-12.0451033333,BBB-850
2.67,8.63,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '24 Mar 2022 00:02:21', 'v': 1648098141, 'y': -13.0938383333, 'x': -75.9888766667}","{'t': '24 Mar 2022 08:40:08', 'v': 1648129208, 'y': -11.9712616667, 'x': -76.8833233333}",256.0,8:37:47,2:40:06,30.0,85.0,33.75,7.59,1648098141,1648129208,2022-03-24 00:02:21,2022-03-24 08:40:08,-75.9888766667,-76.8833233333,-13.0938383333,-11.9712616667,BBB-850
4.67,10.88,0.21,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '25 Mar 2022 01:02:09', 'v': 1648188129, 'y': -13.0938433333, 'x': -75.9888766667}","{'t': '25 Mar 2022 11:54:57', 'v': 1648227297, 'y': -12.0432683333, 'x': -77.131165}",263.0,10:52:48,4:40:10,24.0,84.0,31.85,8.26,1648188129,1648227297,2022-03-25 01:02:09,2022-03-25 11:54:57,-75.9888766667,-77.131165,-13.0938433333,-12.0432683333,BBB-850
3.37,9.18,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '26 Mar 2022 01:31:11', 'v': 1648276271, 'y': -13.093855, 'x': -75.9889216667}","{'t': '26 Mar 2022 10:42:13', 'v': 1648309333, 'y': -11.9712433333, 'x': -76.8832016667}",256.0,9:11:02,3:22:10,28.0,82.0,33.15,7.73,1648276271,1648309333,2022-03-26 01:31:11,2022-03-26 10:42:13,-75.9889216667,-76.8832016667,-13.093855,-11.9712433333,BBB-850
5.84,11.39,0.23,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '27 Mar 2022 01:21:57', 'v': 1648362117, 'y': -13.0938583333, 'x': -75.9889}","{'t': '27 Mar 2022 12:45:31', 'v': 1648403131, 'y': -11.971, 'x': -76.8830183333}",256.0,11:23:34,5:50:13,22.0,82.0,31.08,8.24,1648362117,1648403131,2022-03-27 01:21:57,2022-03-27 12:45:31,-75.9889,-76.8830183333,-13.0938583333,-11.971,BBB-850
5.44,11.71,0.22,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '28 Mar 2022 01:01:49', 'v': 1648447309, 'y': -13.09369, 'x': -75.988465}","{'t': '28 Mar 2022 12:44:17', 'v': 1648489457, 'y': -11.9713333333, 'x': -76.8833083333}",256.0,11:42:28,5:26:07,22.0,80.0,32.93,7.78,1648447309,1648489457,2022-03-28 01:01:49,2022-03-28 12:44:17,-75.988465,-76.8833083333,-13.09369,-11.9713333333,BBB-850
3.17,8.85,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '29 Mar 2022 23:24:25', 'v': 1648614265, 'y': -13.093885, 'x': -75.9888766667}","{'t': '30 Mar 2022 08:15:24', 'v': 1648646124, 'y': -11.9713016667, 'x': -76.8832633333}",256.0,8:50:59,3:10:07,29.0,85.0,33.32,7.67,1648614265,1648646124,2022-03-29 23:24:25,2022-03-30 08:15:24,-75.9888766667,-76.8832633333,-13.093885,-11.9713016667,BBB-850
2.45,8.96,0.22,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '31 Mar 2022 01:37:32', 'v': 1648708652, 'y': -13.0938733333, 'x': -75.988915}","{'t': '31 Mar 2022 10:34:51', 'v': 1648740891, 'y': -11.971125, 'x': -76.8831333333}",257.0,8:57:19,2:27:10,29.0,82.0,34.25,7.5,1648708652,1648740891,2022-03-31 01:37:32,2022-03-31 10:34:51,-75.988915,-76.8831333333,-13.0938733333,-11.971125,BBB-850
3.04,8.93,0.21,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '31 Mar 2022 23:57:14', 'v': 1648789034, 'y': -13.0936283333, 'x': -75.98835}","{'t': '01 Apr 2022 08:53:12', 'v': 1648821192, 'y': -12.0450416667, 'x': -77.1279066667}",257.0,8:55:58,3:02:06,29.0,78.0,29.53,8.69,1648789034,1648821192,2022-03-31 23:57:14,2022-04-01 08:53:12,-75.98835,-77.1279066667,-13.0936283333,-12.0450416667,BBB-850
2.6,8.32,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '04 Apr 2022 01:08:10', 'v': 1649052490, 'y': -13.0937283333, 'x': -75.9884866667}","{'t': '04 Apr 2022 09:27:12', 'v': 1649082432, 'y': -11.9711566667, 'x': -76.883125}",256.0,8:19:02,2:36:04,31.0,80.0,32.77,7.82,1649052490,1649082432,2022-04-04 01:08:10,2022-04-04 09:27:12,-75.9884866667,-76.883125,-13.0937283333,-11.9711566667,BBB-850
5.5,10.67,0.24,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '04 Apr 2022 23:09:12', 'v': 1649131752, 'y': -13.093855, 'x': -75.98883}","{'t': '05 Apr 2022 09:49:38', 'v': 1649170178, 'y': -12.0450983333, 'x': -77.128105}",256.0,10:40:26,5:30:10,24.0,79.0,29.46,8.69,1649131752,1649170178,2022-04-04 23:09:12,2022-04-05 09:49:38,-75.98883,-77.128105,-13.093855,-12.0450983333,BBB-850
2.8,8.62,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '05 Apr 2022 23:31:40', 'v': 1649219500, 'y': -13.0938783333, 'x': -75.9888616667}","{'t': '06 Apr 2022 08:08:58', 'v': 1649250538, 'y': -11.971265, 'x': -76.8833083333}",256.0,8:37:18,2:48:04,30.0,84.0,33.17,7.72,1649219500,1649250538,2022-04-05 23:31:40,2022-04-06 08:08:58,-75.9888616667,-76.8833083333,-13.0938783333,-11.971265,BBB-850
2.67,8.51,0.22,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '06 Apr 2022 23:37:38', 'v': 1649306258, 'y': -13.09382, 'x': -75.9888833333}","{'t': '07 Apr 2022 08:07:56', 'v': 1649336876, 'y': -12.04509, 'x': -77.1280283333}",259.0,8:30:18,2:40:11,30.0,81.0,31.38,8.25,1649306258,1649336876,2022-04-06 23:37:38,2022-04-07 08:07:56,-75.9888833333,-77.1280283333,-13.09382,-12.04509,BBB-850
3.07,9.03,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '09 Apr 2022 00:19:30', 'v': 1649481570, 'y': -13.0938833333, 'x': -75.9888533333}","{'t': '09 Apr 2022 09:21:35', 'v': 1649514095, 'y': -11.97126, 'x': -76.8833083333}",263.0,9:02:05,3:04:12,29.0,82.0,34.51,7.61,1649481570,1649514095,2022-04-09 00:19:30,2022-04-09 09:21:35,-75.9888533333,-76.8833083333,-13.0938833333,-11.97126,BBB-850
7.6,14.0,0.2,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '11 Apr 2022 23:18:17', 'v': 1649737097, 'y': -13.0938483333, 'x': -75.9888533333}","{'t': '12 Apr 2022 13:18:06', 'v': 1649787486, 'y': -12.0448866667, 'x': -77.1318283333}",259.0,13:59:49,7:36:07,18.0,83.0,31.3,8.28,1649737097,1649787486,2022-04-11 23:18:17,2022-04-12 13:18:06,-75.9888533333,-77.1318283333,-13.0938483333,-12.0448866667,BBB-850
3.08,9.16,0.21,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '12 Apr 2022 23:17:49', 'v': 1649823469, 'y': -13.0938566667, 'x': -75.988815}","{'t': '13 Apr 2022 08:27:23', 'v': 1649856443, 'y': -12.0450833333, 'x': -77.12812}",258.0,9:09:34,3:05:06,28.0,84.0,30.92,8.33,1649823469,1649856443,2022-04-12 23:17:49,2022-04-13 08:27:23,-75.988815,-77.12812,-13.0938566667,-12.0450833333,BBB-850
4.69,10.47,0.23,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '13 Apr 2022 23:38:25', 'v': 1649911105, 'y': -13.093965, 'x': -75.9888766667}","{'t': '14 Apr 2022 10:06:41', 'v': 1649948801, 'y': -11.9708833333, 'x': -76.88285}",259.0,10:28:16,4:41:08,25.0,81.0,32.37,8.01,1649911105,1649948801,2022-04-13 23:38:25,2022-04-14 10:06:41,-75.9888766667,-76.88285,-13.093965,-11.9708833333,BBB-850
3.4,8.95,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '15 Apr 2022 01:20:56', 'v': 1650003656, 'y': -13.0938416667, 'x': -75.9888533333}","{'t': '15 Apr 2022 10:18:07', 'v': 1650035887, 'y': -11.9712533333, 'x': -76.883255}",259.0,8:57:11,3:24:09,29.0,81.0,32.29,8.02,1650003656,1650035887,2022-04-15 01:20:56,2022-04-15 10:18:07,-75.9888533333,-76.883255,-13.0938416667,-11.9712533333,BBB-850
6.62,12.13,0.23,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '16 Apr 2022 23:14:48', 'v': 1650168888, 'y': -13.0938666667, 'x': -75.9888533333}","{'t': '17 Apr 2022 11:22:37', 'v': 1650212557, 'y': -11.971185, 'x': -76.883225}",256.0,12:07:49,6:37:08,21.0,92.0,30.97,8.27,1650168888,1650212557,2022-04-16 23:14:48,2022-04-17 11:22:37,-75.9888533333,-76.883225,-13.0938666667,-11.971185,BBB-850
2.95,9.97,0.2,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '21 Apr 2022 01:31:47', 'v': 1650522707, 'y': -13.09388, 'x': -75.9888383333}","{'t': '21 Apr 2022 11:30:10', 'v': 1650558610, 'y': -12.0450883333, 'x': -77.12799}",260.0,9:58:23,2:57:10,26.0,85.0,33.55,7.74,1650522707,1650558610,2022-04-21 01:31:47,2022-04-21 11:30:10,-75.9888383333,-77.12799,-13.09388,-12.0450883333,BBB-850
3.97,9.66,0.22,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '22 Apr 2022 22:44:17', 'v': 1650685457, 'y': -13.09388, 'x': -75.9888916667}","{'t': '23 Apr 2022 08:23:36', 'v': 1650720216, 'y': -12.0450983333, 'x': -77.1280066667}",256.0,9:39:19,3:58:12,27.0,81.0,29.64,8.65,1650685457,1650720216,2022-04-22 22:44:17,2022-04-23 08:23:36,-75.9888916667,-77.1280066667,-13.09388,-12.0450983333,BBB-850
3.79,9.18,0.22,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '23 Apr 2022 22:20:10', 'v': 1650770410, 'y': -13.0938533333, 'x': -75.9888}","{'t': '24 Apr 2022 07:30:53', 'v': 1650803453, 'y': -12.0450616667, 'x': -77.1279366667}",256.0,9:10:43,3:47:07,28.0,77.0,28.39,9.01,1650770410,1650803453,2022-04-23 22:20:10,2022-04-24 07:30:53,-75.9888,-77.1279366667,-13.0938533333,-12.0450616667,BBB-850
